Airport name,﻿Main city served,ICAO,IATA,ARC,INTL - NTL,Civil - joint civil/military,Latitude,Longitude
Anqing Tianzhushan Airport,Anqing,ZSAQ,AQG,4C,NTL,Joint civil/military,30.582199,117.050003
Chizhou Jiuhuashan Airport,Chizhou,ZSJH,JUH,4C,NTL,Civil,30.7403,117.6856
Fuyang Airport,Fuyang,ZSFY,FUG,4C,NTL,Civil,32.882157,115.734364
Hefei Xinqiao International Airport,Hefei,ZSOF,HFE,4E,INTL,Civil,31.98779,116.9769
Huangshan Tunxi International Airport,Huangshan,ZSTX,TXN,4D,INTL,Civil,29.733299255371094,118.25599670410156
Wuhu Xuanzhou Airport,Wuhu & Xuancheng,ZSWA,WHA,4C,NTL,Civil,31.1045,118.66687
Beijing Capital International Airport,Beijing,ZBAA,PEK,4F,INTL,Civil,40.080101013183594,116.58499908447266
Beijing Daxing International Airport,Beijing,ZBAD,PKX,4F,INTL,Civil,39.509945,116.41092
Chongqing Jiangbei International Airport,Chongqing,ZUCK,CKG,4F,INTL,Civil,29.712254,106.651895
Qianjiang Wulingshan Airport,Qianjiang (Chongqing),ZUQJ,JIQ,4C,NTL,Civil,29.5133333333,108.831111111
Wanzhou Wuqiao Airport,Wanzhou (Chongqing),ZUWX,WXN,4C,INTL,Civil,30.8017,108.433
Chongqing Xiannvshan Airport,Wulong (Chongqing),ZUWL,CQW,4C,NTL,Civil,29.465658,107.693664
Chongqing Wushan Airport,Wushan (Chongqing),ZUWS,WSK,4C,NTL,Civil,31.06896,109.708958
Fuzhou Changle International Airport,Fuzhou,ZSFZ,FOC,4E,INTL,Civil,25.934669,119.66318
Liancheng Guanzhishan Airport,Longyan,ZSLO,LCX,4C,NTL,Joint civil/military,25.67592,116.745907
Quanzhou Jinjiang International Airport,Quanzhou,ZSQZ,JJN,4D,INTL,Joint civil/military,24.796587,118.588883
Sanming Shaxian Airport,Sanming,ZSSM,SQJ,4C,NTL,Civil,26.4263,117.8336
Wuyishan Airport,Wuyishan (Nanping),ZSWY,WUS,4C,INTL,Joint civil/military,27.7019,118.000999
Xiamen Gaoqi International Airport,Xiamen,ZSAM,XMN,4E,INTL,Civil,24.54400062561035,118.12799835205078
Dunhuang Mogao International Airport,Dunhuang (Jiuquan),ZLDH,DNH,4D,INTL,Civil,40.161098,94.809196
Gannan Xiahe Airport,Hezuo (Gannan),ZLXH,GXH,4C,NTL,Civil,34.819014,102.622261
Jiayuguan Jiuquan Airport,Jiayuguan & Jiuquan,ZLJQ,JGN,4D,NTL,Civil,39.856899,98.3414
Jinchang Jinchuan Airport,Jinchang,ZLJC,JIC,4C,NTL,Civil,38.542222,102.348333
Lanzhou Zhongchuan International Airport,Lanzhou,ZLLL,LHW,4E,INTL,Civil,36.515202,103.620003
Longnan Chengxian Airport,Longnan,ZLLN,LNL,4C,NTL,Civil,33.789918,105.790014
Qingyang Airport,Qingyang,ZLQY,IQN,4C,NTL,Civil,35.802638,107.598896
Tianshui Maijishan Airport,Tianshui,ZLTS,THQ,3C,NTL,Joint civil/military,34.5601,105.860343
Zhangye Ganzhou Airport,Zhangye,ZLZY,YZY,4C,NTL,Joint civil/military,38.801899,100.675003
Foshan Shadi Airport,Foshan,ZGFS,FUO,4C,NTL,Joint civil/military,23.0825,113.070833
Guangzhou Baiyun International Airport,Guangzhou,ZGGG,CAN,4F,INTL,Civil,23.392401,113.299004
Huizhou Pingtan Airport,Huizhou,ZGHZ,HUZ,4C,NTL,Joint civil/military,23.049999,114.599998
Jieyang Chaoshan International Airport,Jieyang & Chaozhou & Shantou,ZGOW,SWA,4E,INTL,Civil,23.552,116.5033
Meizhou Meixian Airport,Meizhou,ZGMX,MXZ,4C,INTL,Civil,24.263425,116.097857
Shaoguan Danxia Airport,Shaoguan,ZGSG,HSC,4C,NTL,Joint civil/military,24.9786,113.420998
Shenzhen Baoan International Airport,Shenzhen,ZGSZ,SZX,4F,INTL,Civil,22.639299,113.810997
Zhanjiang Wuchuan International Airport,Zhanjiang,ZGZJ,ZHA,4E,INTL,Civil,21.481667,110.590278
Zhuhai Jinwan Airport,Zhuhai,ZGSD,ZUH,4E,NTL,Civil,22.006399,113.375999
Baise Bama Airport,Baise & Bama (Hechi),ZGBS,AEB,4C,NTL,Joint civil/military,23.7206,106.959999
Beihai Fucheng Airport,Beihai,ZGBH,BHY,4D,INTL,Civil,21.5394,109.293999
Guilin Liangjiang International Airport,Guilin,ZGKL,KWL,4E,INTL,Civil,25.219828,110.039553
Hechi Jinchengjiang Airport,Hechi,ZGHC,HCJ,4C,NTL,Civil,24.804344,107.710819
Liuzhou Bailian Airport,Liuzhou,ZGZH,LZH,4C,NTL,Joint civil/military,24.2075,109.390999
Nanning Wuxu International Airport,Nanning,ZGNN,NNG,4E,INTL,Joint civil/military,22.608544,108.175335
Wuzhou Xijiang Airport,Wuzhou,ZGWZ,WUZ,4C,NTL,Civil,23.40316,111.09331
Yulin Fumian Airport,Yulin,ZGYL,YLX,4C,NTL,Civil,22.438056,110.120833
Anshun Huangguoshu Airport,Anshun,ZUAS,AVA,4C,NTL,Joint civil/military,26.260556,105.873333
Bijie Feixiong Airport,Bijie,ZUBJ,BFJ,4C,NTL,Civil,27.267066,105.472097
Guiyang Longdongbao International Airport,Guiyang,ZUGY,KWE,4E,INTL,Civil,26.541466,106.803331
Kaili Huangping Airport,Kaili (Qiandongnan),ZUKJ,KJH,4C,NTL,Civil,26.972,107.988
Qiannan Libo Airport,Libo (Qiannan),ZULB,LLB,4C,NTL,Civil,25.4525,107.961667
Qiandongnan Liping Airport,Liping (Qiandongnan),ZUNP,HZH,4C,NTL,Civil,26.32217,109.1499
Liupanshui Yuezhao Airport,Liupanshui,ZUPS,LPF,4C,NTL,Civil,26.609417,104.979
Zunyi Maotai Airport,Renhuai (Zunyi),ZUMT,WMT,4C,NTL,Civil,27.961837,106.435416
Tongren Fenghuang Airport,Tongren & Fenghuang (Xiangxi),ZUTR,TEN,4C,NTL,Civil,27.883333,109.308889
Xingyi Wanfenglin Airport,Xingyi (Qianxinan),ZUYI,ACX,4C,NTL,Civil,25.083423,104.960804
Zunyi Xinzhou Airport,Zunyi,ZUZY,ZYI,4C,INTL,Joint civil/military,27.810723,107.247189
Haikou Meilan International Airport,Haikou,ZJHK,HAK,4E,INTL,Civil,19.9349,110.459
Qionghai Boao International Airport,Qionghai,ZJQH,BAR,4C,INTL,Civil,19.140951,110.452766
Sansha Yongxing Airport,Sansha[a],ZJYX,XYI,4C,NTL,Joint civil/military,,
Sanya Phoenix International Airport,Sanya,ZJSY,SYX,4E,INTL,Civil,18.3029,109.412003
Chengde Puning Airport,Chengde,ZBCD,CDE,4C,NTL,Civil,41.1225,118.073889
Handan Airport,Handan,ZBHD,HDG,4C,NTL,Civil,36.525833,114.425556
Qinhuangdao Beidaihe Airport,Qinhuangdao,ZBDH,BPE,4C,NTL,Civil,39.666384,119.061384
Shijiazhuang Zhengding International Airport,Shijiazhuang,ZBSJ,SJW,4E,INTL,Civil,38.280701,114.696999
Tangshan Sannvhe Airport,Tangshan,ZBSN,TVS,4C,NTL,Joint civil/military,39.7178,118.002625
Xingtai Dalian Airport,Xingtai,ZBXT,XNT,4C,NTL,Joint civil/military,36.8831,114.4293
Zhangjiakou Ningyuan Airport,Zhangjiakou,ZBZJ,ZQZ,4C,NTL,Joint civil/military,40.738602,114.930278
Daqing Saertu Airport,Daqing,ZYDQ,DQA,4C,NTL,Civil,46.750883,125.138642
Fuyuan Dongji Airport,Fuyuan (Jiamusi),ZYFY,FYJ,4C,NTL,Civil,48.197219,134.36298
Harbin Taiping International Airport,Harbin,ZYHB,HRB,4E,INTL,Civil,45.623402,126.25
Heihe Aihui Airport,Heihe,ZYHE,HEK,4C,NTL,Civil,50.171621,127.308884
Daxing'anling Elunchun Airport,Jiagedaqi (Daxing'anling) & Elunchun (Hulunbuir),ZYJD,JGD,4C,NTL,Civil,50.371389,124.1175
Jiamusi Dongjiao Airport,Jiamusi,ZYJM,JMU,4C,INTL,Joint civil/military,46.843399,130.464996
Jiansanjiang Shidi Airport,Jiansanjiang (Jiamusi),ZYJS,JSJ,4C,NTL,Civil,47.108248,132.65792
Jixi Xingkaihu Airport,Jixi,ZYJX,JXA,4C,NTL,Civil,45.293,131.193
Mohe Gulian Airport,Mohe (Daxing'anling),ZYMH,OHE,4C,NTL,Civil,52.916871,122.422759
Mudanjiang Hailang International Airport,Mudanjiang,ZYMD,MDG,4C,INTL,Joint civil/military,44.5241012573,129.569000244
Qiqihar Sanjiazi Airport,Qiqihar,ZYQQ,NDG,4C,INTL,Joint civil/military,47.239601135253906,123.91799926757812
Suifenhe Dongning Airport,Suifenhe (Mudanjiang) & Dongning (Mudanjiang),ZYSD,HSF,4C,NTL,Civil,44.453889,130.843889
Wudalianchi Dedu Airport,Wudalianchi (Heihe),ZYDU,DTU,4C,NTL,Civil,48.441037,126.128374
Yichun Lindu Airport,Yichun,ZYLD,LDS,4C,NTL,Civil,47.752056,129.019125
Anyang Hongqiqu Airport,Anyang,ZHQQ,HQQ,4C,NTL,Civil,35.870833,114.461944
Luoyang Beijiao Airport,Luoyang,ZHLY,LYA,4D,INTL,Civil,34.7411,112.388
Nanyang Jiangying Airport,Nanyang,ZHNY,NNY,4D,NTL,Civil,32.982696,112.617467
Xinyang Minggang Airport,Xinyang & Zhumadian,ZHXY,XAI,4C,NTL,Joint civil/military,32.540819,114.079141
Zhengzhou Xinzheng International Airport,Zhengzhou,ZHCC,CGO,4F,INTL,Civil,34.526497,113.849165
Enshi Xujiaping Airport,Enshi (Enshi),ZHES,ENH,4C,INTL,Civil,30.320299,109.485001
Ezhou Huahu International Airport,Ezhou,ZHEC,EHU,4E,NTL,Civil,30.341178,115.03926
Jingzhou Shashi Airport,Jingzhou,ZHJZ,SHS,4C,NTL,Civil,30.29281,112.44854
Shennongjia Hongping Airport,Shennongjia,ZHSN,HPG,4C,NTL,Civil,31.626,110.34
Shiyan Wudangshan Airport,Shiyan,ZHSY,WDS,4C,NTL,Civil,32.592889,110.906296
Wuhan Tianhe International Airport,Wuhan,ZHHH,WUH,4F,INTL,Civil,30.774798,114.213723
Xiangyang Liuji Airport,Xiangyang,ZHXF,XFN,4D,NTL,Civil,32.152222,112.291666
Yichang Sanxia International Airport,Yichang,ZHYC,YIH,4D,INTL,Civil,30.554132,111.482563
Changde Taohuayuan Airport,Changde,ZGCD,CGD,4D,NTL,Civil,28.9189,111.639999
Changsha Huanghua International Airport,Changsha,ZGHA,CSX,4E,INTL,Civil,28.189199,113.220001
Chenzhou Beihu Airport,Chenzhou,ZGCZ,HCZ,4C,NTL,Civil,25.753419,112.845404
Hengyang Nanyue Airport,Hengyang,ZGHY,HNY,4C,NTL,Civil,26.72208,112.617958
Huaihua Zhijiang Airport,Huaihua,ZGCJ,HJJ,4C,NTL,Joint civil/military,27.443087,109.704666
Xiangxi Biancheng Airport,Jishou (Xiangxi),ZGXX,DXJ,4C,NTL,Civil,28.4972,109.5218
Shaoyang Wugang Airport,Wugang (Shaoyang),ZGSY,WGN,4C,NTL,Civil,26.806123,110.641042
Yongzhou Lingling Airport,Yongzhou,ZGLG,LLF,4C,NTL,Joint civil/military,26.338661,111.610043
Yueyang Sanhe Airport,Yueyang,ZGYY,YYA,4C,NTL,Civil,29.311699,113.281574
Zhangjiajie Hehua International Airport,Zhangjiajie,ZGDY,DYG,4D,INTL,Civil,29.1028,110.443001
Aershan Yiershi Airport,Aershan (Hinggan),ZBES,YIE,4C,NTL,Civil,47.3106,119.9117
Alxa Left Banner Bayanhot Airport,Alxa Left Banner (Alxa),ZBAL,AXF,3C,NTL,Civil,38.74831,105.58858
Alxa Right Banner Badanjilin Airport,Alxa Right Banner (Alxa),ZBAR,RHT,3C,NTL,Civil,39.225,101.546
Baotou Donghe International Airport,Baotou,ZBOW,BAV,4C,INTL,Civil,40.560001,109.997002
Bayannaoer Tianjitai Airport,Bayannaoer,ZBYZ,RLK,4C,NTL,Civil,40.926,107.7428
Chifeng Yulong Airport,Chifeng,ZBCF,CIF,4C,NTL,Joint civil/military,42.159723,118.840971
Ejina Banner Taolai Airport,Ejina Banner (Alxa),ZBEN,EJN,3C,NTL,Civil,42.0155,101.0005
Erenhot Saiwusu International Airport,Erenhot (Xilingol),ZBER,ERL,4C,INTL,Civil,43.4225,112.096667
Hulunbeier Hailar Airport,Hailar (Hulunbuir),ZBLA,HLD,4D,INTL,Civil,49.205002,119.824997
Hohhot Baita International Airport,Hohhot,ZBHH,HET,4E,INTL,Civil,40.849658,111.824598
Huolinguole Huolinhe Airport,Huolinguole (Tongliao),ZBHZ,HUO,4C,NTL,Civil,45.487222,119.407222
Manzhouli Xijiao Airport,Manzhouli (Hulunbuir),ZBMZ,NZH,4D,INTL,Civil,49.566667,117.33
Ordos Ejin Horo International Airport,Ordos,ZBDS,DSN,4E,INTL,Civil,39.493514,109.8599
Tongliao Airport,Tongliao,ZBTL,TGO,4C,NTL,Civil,43.556702,122.199997
Ulanhot Yilelite Airport,Ulanhot (Hinggan),ZBUL,HLH,4C,NTL,Civil,46.195333,122.008333
Ulanqab Jining Airport,Ulanqab,ZBUC,UCB,4C,NTL,Civil,41.130266,113.107274
Wuhai Airport,Wuhai,ZBUH,WUA,4C,NTL,Civil,39.7934,106.7993
Xilinhot Airport,Xilinhot (Xilingol),ZBXH,XIL,4C,NTL,Civil,43.91559982299805,115.96399688720703
Zhalantun Chengjisihan Airport,Zhalantun (Hulunbuir),ZBZL,NZL,4C,NTL,Civil,47.865942,122.768662
Changzhou Benniu International Airport,Changzhou,ZSCG,CZX,4E,INTL,Joint civil/military,31.920485,119.77546
Huaian Lianshui International Airport,Huaian,ZSSH,HIA,4D,INTL,Civil,33.790833,119.125
Lianyungang Huaguoshan International Airport,Lianyungang,ZSLG,LYG,4D,INTL,Civil,34.41406,119.17899
Nanjing Lukou International Airport,Nanjing,ZSNJ,NKG,4F,INTL,Civil,31.735032,118.865949
Nantong Xingdong International Airport,Nantong,ZSNT,NTG,4E,INTL,Civil,32.073566,120.980076
Wuxi Shuofang Airport,Wuxi & Suzhou,ZSWX,WUX,4E,INTL,Joint civil/military,31.494400024399997,120.429000854
Xuzhou Guanyin International Airport,Xuzhou,ZSXZ,XUZ,4D,INTL,Civil,34.059056,117.555278
Yancheng Nanyang International Airport,Yancheng,ZSYN,YNZ,4C,INTL,Joint civil/military,33.425833,120.203056
Yangzhou Taizhou International Airport,Yangzhou & Taizhou,ZSYA,YTY,4E,INTL,Civil,32.5634,119.7198
Ganzhou Huangjin Airport,Ganzhou,ZSGZ,KOW,4C,NTL,Civil,25.853333,114.778889
Ji'an Jinggangshan Airport,Ji'an,ZSGS,JGS,4C,NTL,Joint civil/military,26.856899,114.737
Jingdezhen Luojia Airport,Jingdezhen,ZSJD,JDZ,4C,NTL,Civil,29.3386,117.176003
Jiujiang Lushan Airport,Jiujiang,ZSJJ,JIU,4C,NTL,Joint civil/military,29.476944,115.801111
Nanchang Changbei International Airport,Nanchang,ZSCN,KHN,4E,INTL,Civil,28.864815,115.90271
Shangrao Sanqingshan Airport,Shangrao,ZSSR,SQD,4C,NTL,Civil,28.3797,117.9643
Yichun Mingyueshan Airport,Yichun,ZSYC,YIC,4C,NTL,Civil,27.8025,114.3062
Baicheng Chang'an Airport,Baicheng,ZYBA,DBC,4C,NTL,Civil,45.505278,123.019722
Changchun Longjia International Airport,Changchun,ZYCC,CGQ,4E,INTL,Civil,43.996201,125.684998
Baishan Changbaishan Airport,Fusong (Baishan),ZYBS,NBS,4D,NTL,Civil,42.066944,127.602222
Songyuan Chaganhu Airport,Songyuan,ZYSQ,YSQ,4C,NTL,Civil,44.938114,124.550178
Tonghua Sanyuanpu Airport,Tonghua,ZYTN,TNH,4C,NTL,Joint civil/military,42.048435,125.733963
Yanji Chaoyangchuan International Airport,Yanji (Yanbian),ZYYJ,YNJ,4C,INTL,Joint civil/military,42.8828010559,129.451004028
Anshan Teng'ao Airport,Anshan,ZYAS,AOG,4C,NTL,Joint civil/military,41.105301,122.853996
Changhai Dachangshandao Airport,Changhai (Dalian),ZYCH,CNI,1B,NTL,Civil,39.266667,122.666944
Chaoyang Airport,Chaoyang,ZYCY,CHG,4C,NTL,Civil,41.538101,120.434998
Dalian Zhoushuizi International Airport,Dalian,ZYTL,DLC,4E,INTL,Civil,38.965719,121.538477
Dandong Langtou Airport,Dandong,ZYDD,DDG,4C,NTL,Joint civil/military,40.025453,124.28669
Jinzhou Jinzhouwan Airport,Jinzhou,ZYJZ,JNZ,4C,NTL,Civil,40.936032,121.277114
Shenyang Taoxian International Airport,Shenyang,ZYTX,SHE,4E,INTL,Civil,41.639801,123.483002
Yingkou Lanqi Airport,Yingkou,ZYYK,YKH,4C,NTL,Civil,40.542524,122.3586
Guyuan Liupanshan Airport,Guyuan,ZLGY,GYU,4C,NTL,Civil,36.078889,106.216944
Yinchuan Hedong International Airport,Yinchuan,ZLIC,INC,4E,INTL,Civil,38.322758,106.393214
Zhongwei Shapotou Airport,Zhongwei,ZLZW,ZHY,4C,NTL,Civil,37.573125,105.154454
Haixi Delingha Airport,Delingha (Haixi),ZLDL,HXD,4C,NTL,Civil,37.125286,97.268658
Golmud Airport,Golmud (Haixi),ZLGM,GOQ,4D,NTL,Joint civil/military,36.4006,94.786102
Haixi Huatugou Airport,Mangnai (Haixi),ZLHX,HTT,4C,NTL,Civil,38.201645,90.837843
Golog Maqin Airport,Maqin (Golog),ZLGL,GMQ,4C,NTL,Civil,34.418066,100.301144
Haibei Qilian Airport,Qilian (Haibei),ZLHB,HBQ,4C,NTL,Civil,38.008068,100.645065
Xining Caojiapu International Airport,Xining,ZLXN,XNN,4E,INTL,Civil,36.530093,102.040062
Yushu Batang Airport,Yushu (Yushu),ZLYS,YUS,4C,NTL,Civil,32.836389,97.036389
Ankang Fuqiang Airport,Ankang,ZLAK,AKA,4C,NTL,Joint civil/military,32.75696,108.87338
Hanzhong Chenggu Airport,Hanzhong,ZLHZ,HZG,4C,NTL,Joint civil/military,33.133527,107.203817
Xi'an Xianyang International Airport,Xi'an & Xianyang,ZLXY,XIY,4F,INTL,Civil,34.447102,108.751999
